-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
October,22,"1,041","1,170","1,266",53.4,0.79,1.25,1.62,0.26,1.54,1.94,2.27,0.20
October,23,"1,095","1,240","1,359",62.5,0.89,1.49,1.94,0.29,1.76,2.21,2.62,0.22
October,24,"1,114","1,308","1,403",76.0,1.10,1.71,2.13,0.34,1.87,2.46,2.79,0.26
November,Monthly Average,942,"1,123","1,312",73.2,0.66,1.23,2.06,0.34,1.26,1.83,2.51,0.27
November,1,"1,059","1,205","1,305",63.2,0.94,1.50,2.06,0.33,1.67,2.12,2.51,0.23
November,2,"1,081","1,218","1,312",56.2,1.08,1.53,1.99,0.32,1.81,2.15,2.46,0.20
November,3,"1,093","1,225","1,310",53.2,1.02,1.54,2.04,0.32,1.76,2.17,2.46,0.21
November,4,"1,104","1,220","1,300",53.3,1.01,1.53,2.06,0.33,1.74,2.15,2.48,0.21
November,5,"1,089","1,198","1,294",51.1,0.94,1.46,2.02,0.32,1.66,2.08,2.44,0.20
November,6,"1,051","1,166","1,263",51.0,0.83,1.37,1.93,0.32,1.54,1.97,2.35,0.20
November,7,"1,015","1,133","1,224",50.5,0.76,1.28,1.82,0.31,1.45,1.87,2.25,0.21
November,8,"1,038","1,118","1,217",50.3,0.75,1.23,1.91,0.31,1.44,1.82,2.21,0.21
November,9,"1,032","1,110","1,196",43.5,0.80,1.20,1.75,0.28,1.51,1.79,2.12,0.18
November,10,"1,013","1,102","1,177",41.2,0.80,1.17,1.74,0.27,1.50,1.76,2.07,0.17
November,11,"1,024","1,094","1,172",38.3,0.74,1.14,1.67,0.26,1.43,1.73,2.01,0.16
November,12,"1,029","1,089","1,163",36.9,0.72,1.12,1.65,0.26,1.41,1.71,2.00,0.17
November,13,"1,020","1,088","1,151",40.0,0.72,1.11,1.63,0.27,1.40,1.70,1.99,0.17
November,14,"1,016","1,089","1,176",42.6,0.72,1.11,1.67,0.28,1.40,1.70,2.06,0.18
November,15,998,"1,091","1,201",48.6,0.71,1.12,1.73,0.29,1.38,1.71,2.13,0.20
November,16,995,"1,089","1,208",49.5,0.70,1.11,1.77,0.30,1.38,1.69,2.16,0.21
November,17,"1,001","1,080","1,195",43.1,0.68,1.08,1.72,0.28,1.36,1.67,2.14,0.19
November,18,974,"1,065","1,175",40.3,0.66,1.04,1.65,0.26,1.33,1.62,2.07,0.18
November,19,956,"1,049","1,143",39.0,0.66,1.03,1.61,0.27,1.32,1.60,2.03,0.17
November,20,942,"1,050","1,137",41.9,0.67,1.03,1.57,0.26,1.26,1.60,1.98,0.18
November,21,966,"1,060","1,147",39.8,0.68,1.05,1.58,0.27,1.30,1.62,2.00,0.18
November,22,"1,008","1,084","1,161",40.1,0.74,1.11,1.58,0.28,1.42,1.69,2.02,0.18
November,23,"1,030","1,144","1,214",47.7,0.82,1.29,1.78,0.33,1.49,1.88,2.19,0.21
November,24,"1,027","1,174","1,267",58.2,0.81,1.43,1.94,0.34,1.51,2.02,2.35,0.22
December,Monthly Average,"1,038","1,163","1,352",61.4,0.87,1.41,2.10,0.22,1.52,1.95,2.56,0.21
December,1,"1,150","1,236","1,309",34.7,1.16,1.62,2.06,0.17,1.86,2.17,2.51,0.14
December,2,"1,164","1,249","1,333",40.6,1.20,1.65,2.10,0.19,1.89,2.21,2.55,0.16
December,3,"1,165","1,253","1,352",40.3,1.20,1.66,2.10,0.18,1.90,2.22,2.56,0.16
December,4,"1,163","1,249","1,352",37.7,1.19,1.64,1.98,0.17,1.88,2.20,2.51,0.14
December,5,"1,119","1,230","1,334",39.7,1.08,1.59,1.98,0.18,1.76,2.15,2.47,0.15
December,6,"1,102","1,189","1,299",43.2,1.05,1.48,1.92,0.19,1.72,2.03,2.41,0.17
December,7,"1,076","1,156","1,284",47.1,0.96,1.40,1.89,0.21,1.63,1.94,2.36,0.18
December,8,"1,061","1,142","1,255",47.8,0.89,1.36,1.88,0.22,1.55,1.90,2.35,0.19
December,9,"1,055","1,136","1,231",42.9,0.91,1.34,1.80,0.20,1.57,1.88,2.26,0.18
December,10,"1,052","1,133","1,234",40.2,0.91,1.34,1.89,0.20,1.58,1.87,2.34,0.17
December,11,"1,058","1,137","1,218",36.9,0.99,1.34,1.84,0.19,1.58,1.88,2.30,0.16
December,12,"1,073","1,142","1,227",35.6,1.00,1.35,1.87,0.19,1.61,1.89,2.33,0.16
December,13,"1,080","1,149","1,217",35.0,0.98,1.36,1.76,0.17,1.65,1.90,2.23,0.14
December,14,"1,090","1,159","1,237",36.9,1.05,1.39,1.86,0.17,1.67,1.93,2.32,0.15
December,15,"1,099","1,166","1,248",38.2,1.01,1.41,1.91,0.18,1.67,1.95,2.37,0.16
December,16,"1,108","1,167","1,249",36.3,1.03,1.41,1.91,0.18,1.69,1.95,2.37,0.15
December,17,"1,067","1,143","1,215",36.7,0.95,1.34,1.74,0.17,1.59,1.88,2.21,0.14
December,18,"1,048","1,112","1,165",27.1,0.90,1.26,1.61,0.14,1.54,1.79,2.07,0.11
December,19,"1,038","1,092","1,148",23.1,0.89,1.22,1.54,0.13,1.52,1.75,2.00,0.10
December,20,"1,044","1,093","1,187",28.6,0.90,1.22,1.59,0.15,1.54,1.75,2.14,0.12
December,21,"1,049","1,099","1,191",29.9,0.87,1.23,1.58,0.15,1.52,1.76,2.12,0.12
December,22,"1,062","1,117","1,215",32.7,0.90,1.26,1.67,0.16,1.55,1.80,2.13,0.13
December,23,"1,072","1,161","1,231",39.8,0.99,1.40,1.73,0.15,1.64,1.94,2.21,0.13
December,24,"1,098","1,195","1,258",37.4,1.07,1.52,1.83,0.16,1.74,2.06,2.30,0.14
-,Annual Average,942,"1,190","1,591",91.7,0.66,1.41,2.36,0.30,1.26,2.02,3.11,0.30
