-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
March,6,"1,135","1,215","1,277",35.9,1.12,1.41,1.84,0.16,1.85,2.06,2.29,0.12
March,7,"1,103","1,172","1,228",34.2,1.02,1.32,1.73,0.16,1.72,1.95,2.16,0.12
March,8,"1,083","1,156","1,242",35.0,1.01,1.28,1.68,0.16,1.69,1.91,2.19,0.12
March,9,"1,061","1,146","1,212",36.0,0.99,1.28,1.79,0.18,1.65,1.90,2.22,0.12
March,10,"1,062","1,142","1,250",39.6,0.92,1.29,1.80,0.19,1.62,1.91,2.26,0.14
March,11,"1,051","1,141","1,246",45.9,0.87,1.29,1.86,0.21,1.56,1.91,2.28,0.16
March,12,"1,054","1,141","1,260",46.2,0.90,1.29,1.79,0.21,1.59,1.90,2.29,0.16
March,13,"1,054","1,142","1,261",46.9,0.91,1.27,1.72,0.20,1.60,1.89,2.29,0.16
March,14,"1,036","1,143","1,244",49.2,0.89,1.26,1.69,0.20,1.58,1.88,2.22,0.16
March,15,"1,031","1,146","1,230",48.4,0.99,1.26,1.67,0.20,1.59,1.88,2.18,0.16
March,16,"1,025","1,150","1,247",49.6,1.02,1.26,1.75,0.20,1.56,1.89,2.19,0.16
March,17,"1,027","1,151","1,226",49.4,0.96,1.26,1.77,0.20,1.56,1.89,2.17,0.16
March,18,"1,020","1,140","1,207",43.9,0.98,1.23,1.68,0.18,1.60,1.85,2.08,0.14
March,19,"1,036","1,122","1,173",30.7,0.97,1.20,1.58,0.15,1.58,1.81,1.99,0.11
March,20,"1,007","1,106","1,166",34.0,0.97,1.18,1.55,0.15,1.60,1.78,1.98,0.11
March,21,"1,009","1,106","1,171",36.9,0.98,1.18,1.71,0.17,1.56,1.79,2.13,0.13
March,22,"1,038","1,129","1,185",36.5,0.99,1.23,1.70,0.16,1.62,1.85,2.13,0.12
March,23,"1,087","1,180","1,239",34.3,1.11,1.34,1.73,0.15,1.76,1.98,2.17,0.10
March,24,"1,130","1,214","1,272",33.3,1.19,1.46,1.95,0.17,1.88,2.10,2.35,0.11
April,Monthly Average,"1,046","1,239","1,591",105.8,0.93,1.53,2.36,0.29,1.59,2.17,3.11,0.30
April,1,"1,147","1,347","1,591",101.9,1.39,1.84,2.36,0.27,2.03,2.51,3.11,0.27
April,2,"1,170","1,358","1,586",97.1,1.38,1.86,2.31,0.25,2.04,2.53,3.07,0.25
April,3,"1,182","1,360","1,549",88.7,1.41,1.87,2.22,0.23,2.08,2.54,2.97,0.23
April,4,"1,173","1,352","1,536",86.6,1.38,1.84,2.18,0.22,2.01,2.51,2.93,0.22
April,5,"1,185","1,336","1,537",85.6,1.39,1.79,2.17,0.22,2.10,2.46,2.92,0.22
April,6,"1,154","1,304","1,526",85.6,1.33,1.70,2.14,0.22,2.03,2.36,2.89,0.23
April,7,"1,122","1,286","1,546",94.3,1.27,1.62,2.20,0.23,1.93,2.29,2.95,0.25
April,8,"1,102","1,253","1,457",82.1,1.25,1.56,2.02,0.21,1.85,2.21,2.74,0.22
April,9,"1,070","1,226","1,418",76.4,1.20,1.49,1.93,0.20,1.78,2.14,2.63,0.21
April,10,"1,064","1,201","1,350",73.7,1.13,1.43,1.84,0.19,1.80,2.07,2.51,0.20
April,11,"1,070","1,186","1,336",71.6,1.10,1.40,1.77,0.18,1.78,2.03,2.42,0.19
April,12,"1,067","1,180","1,317",67.3,0.97,1.38,1.75,0.18,1.65,2.01,2.40,0.19
April,13,"1,057","1,180","1,313",66.6,1.06,1.37,1.71,0.18,1.70,2.00,2.36,0.19
April,14,"1,065","1,179","1,305",64.8,1.11,1.37,1.69,0.18,1.71,1.99,2.33,0.19
April,15,"1,058","1,178","1,307",65.7,1.06,1.35,1.68,0.18,1.71,1.97,2.32,0.19
April,16,"1,059","1,173","1,293",63.5,1.03,1.33,1.63,0.17,1.68,1.95,2.27,0.18
April,17,"1,052","1,176","1,306",66.7,1.00,1.32,1.66,0.18,1.66,1.95,2.30,0.19
April,18,"1,049","1,191","1,309",69.2,1.01,1.38,1.71,0.20,1.68,2.01,2.36,0.20
April,19,"1,057","1,195","1,331",72.5,0.96,1.39,1.71,0.20,1.63,2.02,2.36,0.21
April,20,"1,046","1,162","1,309",68.5,0.93,1.33,1.64,0.19,1.59,1.94,2.28,0.19
April,21,"1,051","1,159","1,318",64.7,0.94,1.32,1.62,0.18,1.60,1.94,2.30,0.18
