OBJECTID,Acreage,SqMi,Name,GlobalID,Shape__Area,Shape__Length
1230,169.89278457,0.27027975,Peoria Heights,4df71082-cac3-4d48-99a6-bea16874cdf6,7534936.93164063,88963.9326572569
1231,82.79989866,0.12937484,West Peoria,ee832447-da63-4f80-ac4a-ddb7eed13172,3606749.15844727,55354.0938609593
1232,3587.85304577,5.77995856,Peoria,874e7851-aea6-4398-bfa5-481a2fb071c5,160908467.934326,735638.371299857
1233,552.62262643,0.86346498,Bartonville,5265d71e-b14a-42bc-90b5-7616c27d44f2,24071311.3388672,137485.080041681
1234,37.84406766,0.05913136,Mapleton,3bdd718a-4a08-4ffd-a993-378142d2d3b6,1648480.99414063,7001.5691378169
1235,72.59146186,0.11455683,Bellevue,2dac887a-5186-4b00-8371-ed67fa59219b,3193571.00708008,41027.3161228073
1236,2293.97621709,3.68896159,County,5eb65c7c-1322-44b5-8417-6d9598113b2e,102841694.156006,326459.316003629
