"longtrip","primfish","mail","status","id_code","asgnum","intcd","year","month","day","intv","time","st","cnty","nights","days","peotrav","peofish","afuelexp","afuelnum","arentexp","arentnum","ptransexp","ptransnum","lodgexp","lodgnum","grocexp","grocnum","restexp","restnum","tackexp","tacknum","baitexp","baitnum","iceexp","icenum","feesexp","feesnum","parkexp","parknum","othexp","othnum","other_verb","bfuelexp","bfuelnum","brentexp","brentnum","guideexp","guidenum","crewexp","crewnum","procexp","procnum","percent","date1","giftnum","mode_fx","ffdays12","st_res","sub_reg","wave","intid","wave1","miles","miled","giftsexp","giftsnum","miscexp","miscnum","totexp","totnum","othexp_o","commlic","boat","howlie","q19","q19a","q19b","res","int","mailed","mid_phone","years","beach","pier","privboat","charter","daysus","st_fish_a","st_fish_b","st_fish_c","st_fish_d","st_fish_e","st_fish_oth","fishal","fishak","fishca","fishct","fishde","fishfl","fishga","fishhi","fishla","fishme","fishmd","fishma","fishms","fishnh","fishnj","fishny","fishnc","fishor","fishri","fishsc","fishtx","fishva","fishwa","fishoth","moneygear","rodsexp_p","rodsexp","rodsperc","rodssalt","tackleexp_p","tackleexp","tackleperc","tacklesalt","gearexp_p","gearexp","gearperc","gearsalt","campexp_p","campexp","campperc","campsalt","clothexp_p","clothexp","clothperc","clothsalt","glassesexp_p","glassesexp","glassesperc","glassessalt","subscribe_p","subscribe","taxexp_p","taxexp","taxperc","taxsalt","clubsexp_p","clubsexp","clubsperc","clubssalt","licenses_p","licenses","ownboat","perctime","boatlngth","motorized","horsepower","boatexp_p","boatexp","boatst_a","boatst_b","boatst_c","boatst_d","boatst_e","boatst_oth","boatfin","boatnew","boatdealer","canoeexp_p","canoeexp","canoest_a","canoest_b","canoest_c","canoest_d","canoest_e","canoest_oth","canoefin","canoenew","canoedealer","accexp_p","accexp","accst_a","accst_b","accst_c","accst_d","accst_e","acc_oth","accfin","accnew","accdealer","storageexp_p","storageexp","storagest_a","storagest_b","storagest_c","storagest_d","storagest_e","storage_oth","maintexp_p","maintexp","maintst_a","maintst_b","maintst_c","maintst_d","maintst_e","maint_oth","licexp_p","licexp","licst_a","licst_b","licst_c","licst_d","licst_e","lic_oth","boatinsexp_p","boatinsexp","boatinsst_a","boatinsst_b","boatinsst_c","boatinsst_d","boatinsst_e","boatins_oth","ownvehicle","vehicleperc","vehicleexp_p","vehicleexp","vehiclest_a","vehiclest_b","vehiclest_c","vehiclest_d","vehiclest_e","vehicle_oth","vehiclefin","vehiclenew","vehicledealer","repairexp_p","repairexp","repairst_a","repairst_b","repairst_c","repairst_d","repairst_e","repair_oth","vehinsexp_p","vehinsexp","vehinsst_a","vehinsst_b","vehinsst_c","vehinsst_d","vehinsst_e","vehins_oth","secondhome","secondhomeperc","secondhomest_a","secondhomest_b","secondhomest_c","secondhomest_d","secondhomest_e","secondhome_oth","secondhomeexp_p","secondhomeexp","secondhomefin","secondhomenew","secondhomeagent","secondhomerepexp_p","secondhomerepexp","secondhomeinsexp_p","secondhomeinsexp","gender","yearborn","age_learn","taught_a","taughtm_o","taughtf_o","taughto_o","reason_p","education","employ_a","employ_b","employ_c","employ_d","employ_e","employ_f","employ_g","employ_o","ethnic","race_a","race_b","race_c","race_d","race_e","hours","income","dispo","source","stabbr","reason1","reason2","reason3","phonenum","qver","stname","yearwave","survey_type","masterid","midsuff","strata","qver_hi","mode_f","cust","permitnbr","birthdate_zip_issuedate_wave","recid_wave","wildid_wave","idcode_edate","personid_birthdate_obsnum","docid_obsnum_wave","source_index","fl_phone","boatinsstate","canoestate","maintstate","repairstate","secondhomestate","storagestate","vehinsstate","vehiclestate","intered","dayssalt","daysfresh","fishoth_o","resak","reconly","subonly","personly","dkonly","tripmo","tripdy","tripyr","target","species1","species2","timeoff","numtrav","numfished","recreation","otransexp","otransnum","ofoodexp","ofoodnum","moorexp","moornum","ofishexp","ofishnum","daysfish","money","caughtmarlin","nummarlin","bigmarlin","sell","commfish","fulltime","boatst","canoest","accst","storagest","maintst","licst","boatinsst","vehiclest","repairst","vehinsst","secondhomest","mosta1","mostb1","mostc1","mosttrips1","leasta1","leastb1","leastc1","leasttrips1","mosta2","mostb2","mostc2","mosttrips2","leasta2","leastb2","leastc2","leasttrips2","mosta3","mostb3","mostc3","mosttrips3","leasta3","leastb3","leastc3","leasttrips3","results","incomebluefin","fish_o","food_o","othpref_o","oth_o","trans_o","rectrip","percexp","othperc","othsalt","incomefish","qgroup","sellx","commfishx","fulltimex","targetx","longtripx","call_varx","caughtmarlinx","stx","resakx","moneygearx","ownboatx","ownvehiclex","secondhomex","reason1x","reason2x","afford","tournum","marlin","bill","mahi","ono","yellow","bigeye","othpref","holoholo","kaukau","expense","profit","trophy","release","trophysize","die","kept","tag","ice","big","over300","fishfrom_1","fishfrom_2","fishfrom_3","fishfrom_4","fishfrom_5","bad_city","ak_res","hi_res","wa_res","otherexp","mail_wave","license","intercept","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","location_2","location_2_address","location_2_city","location_2_state","location_2_zip","location_3","location_3_address","location_3_city","location_3_state","location_3_zip","location_4","location_4_address","location_4_city","location_4_state","location_4_zip","location_5","location_5_address","location_5_city","location_5_state","location_5_zip","location_6","location_6_address","location_6_city","location_6_state","location_6_zip","location_7","location_7_address","location_7_city","location_7_state","location_7_zip","location_8","location_8_address","location_8_city","location_8_state","location_8_zip","location_9","location_9_address","location_9_city","location_9_state","location_9_zip"
,,,"3","1535720060914000","1","5357","2006","9","14","3","1226","12","5",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"10OCT200610:15","0","5","1","13","7","5","664","5","319.8","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-84.590699 34.038975)",,,"12","30144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"4","1535820060423010","1","5358","2006","4","23","10","1651","12","91",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"12MAY200610:15",,"7","10","12","7","2","3101","2","1.3","1",,,,,,,,,,,,,,"1","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-86.719782 30.412128)",,,"12","32569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","8","2","1","1535720061021000","1","5357","2006","10","21","8","1741","12","5","998","998","2","2","1","2","0","0","0","0","0","0","20","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"20","2","0","0",,"0",,"0",,"0","100","13NOV200610:15","0","7","25","12","7","5","867","5","6.9","1","0",,,,,,,,,,,,,"1","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-85.663153 30.195593)",,,"12","32405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","8","1","1","1535720061227010","1","5357","2006","12","27","16","1804","12","45","998","998","1","2","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"15","2","0","0",,"0",,"0",,"0","100","11JAN200710:15","0","7","100","12","7","6","904","6","35.2","1","0",,,,,,,,,,,,,"1","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"POINT (-85.663153 30.195593)",,,"FL","32405","POINT (-85.663153 30.195593)",,,"12","32405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1535720060914010","1","5357","2006","9","14","12","1426","12","5",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"10OCT200610:15","0","5","1","29","7","5","664","5","798.1","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-90.524078 38.474905)",,,"12","63049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","1","2","2","1535820060304000","1","5358","2006","3","4","8","1614","12","91","3","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0",,"0","8888","88","8888","88","8888","88","0",,,"5","1","47","7","2","599","2","493.9","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-90.079568 35.04358)",,,"12","38109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","1","2","1","1535720061009010","1","5357","2006","10","9","14","1652","12","5","6","6","2","4","100","2","0","0","0","0","175","2","35","2","250","2","20","2","0","0","0","0","0","0","13","2","0","0",,"35","2","0","0",,"0",,"0",,"0","97","13NOV200610:15","0","7","3","47","7","5","948","5","470.1","1","0",,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-87.298181 35.949681)",,,"12","37025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1535720061118010","1","5357","2006","11","18","11","1744","12","5",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"12DEC200610:15","0","5","1","13","7","6","663","6","336.2","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-85.242287 34.2918)",,,"12","30165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","1","2","1","1535820060326000","1","5358","2006","3","26","3","1457","12","91","6","6","2","2","200","1","0","0","0","0","0","0","50","1","20","1","0","0","50","1","0","0","0","0","0","0","10","2","L","200","1","0","0",,"0",,"0",,"0","80",,,"7","30","18","7","2","652","2","680.5","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-86.423673 38.650667)",,,"12","47452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","2","2","2","1535820060529020","1","5358","2006","5","29","29","1626","12","91","4","1","6","3","9999","99","9999","99","9999","99","9999","99","9999","99","9999","99","9999","99","9999","99","9999","99","9999","99","9999","99","9999","99",,,"0",,"0","9999","99","9999","99","9999","99","999","07JUN200610:15",,"5","1","39","7","3","693","3","741.3","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-84.468798 39.288328)",,,"12","45246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","8","2","1","1535720061003000","1","5357","2006","10","3","5","1636","12","5","998","998","3","3","10","3","0","0","0","0","0","0","20","3","0","0","0","0",,"0","0","0","0","0","0","0","0","0",,"50","3","0","0",,"0",,"0",,"0","100","13NOV200610:15","0","7","300","12","7","5","333","5","4.3","1","0",,,,,,,,,,,,,"1","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-85.526994 30.191885)",,,"12","32404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1535720060826000","1","5357","2006","8","26","6","1302","12","5",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"11SEP200610:15",,"5","25","1","7","4","664","4","189.6","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-85.098563 32.484761)",,,"12","36870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","8","2","1","1535820060611020","1","5358","2006","6","11","27","1449","12","91","998","998","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0",,"0","0","0","0","0","0","0","0","12JUL200610:15",,"5","1","12","7","3","599","3","2","1",,,,,,,,,,,,,,"1","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-86.457208 30.39436)",,,"12","32541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1535720060820000","1","5357","2006","8","20","4","1244","12","5",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"11SEP200610:15",,"5","1","1","7","4","663","4","89.9","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-85.860774 31.184084)",,,"12","36316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1535720060826010","1","5357","2006","8","26","11","1338","12","5",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"11SEP200610:15",,"5","3","12","7","4","664","4","13.9","1",,,,,,,,,,,,,,"1","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-85.526994 30.191885)",,,"12","32404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","8","1","1","1000920060122000","1","9","2006","1","22","9","1354","12","57","998","998","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"50","2","0","0",,"0",,"0",,"0","100","21FEB200610:15",,"7","300","12","7","1","597","1","21.2","1",,,,,,,,,,,,,,"1","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"POINT (-82.628812 27.816888)",,,"FL","33703","POINT (-82.628812 27.816888)",,,"12","33703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","8","1","1","1000920060122010","1","9","2006","1","22","10","1359","12","57","998","998","2","2","0","0","0","0","0","0","0","0","20","2","0","0","0","0","0","0","4","2","0","0","0","0","0","0",,"0","0","0","0",,"0",,"0",,"0","100","21FEB200610:15",,"7","200","12","7","1","597","1","4","1",,,,,,,,,,,,,,"1","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"POINT (-82.505517 27.891079)",,,"FL","33611","POINT (-82.508257 27.920945)",,,"12","33629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1535720060825010","1","5357","2006","8","25","10","1652","12","5",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"11SEP200610:15",,"5","1","13","7","4","663","4","324.2","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-84.567664 34.120496)",,,"12","30189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
