-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
November,17,723,787,858,31.4,0.20,0.31,0.45,0.06,0.73,0.86,1.00,0.05
November,18,679,743,827,36.2,0.19,0.27,0.37,0.04,0.66,0.80,0.89,0.04
November,19,639,708,778,33.3,0.17,0.25,0.35,0.05,0.62,0.76,0.84,0.04
November,20,656,729,795,32.8,0.19,0.28,0.41,0.06,0.66,0.80,0.87,0.04
November,21,686,758,822,35.2,0.21,0.31,0.44,0.06,0.71,0.84,0.93,0.04
November,22,721,789,843,32.3,0.24,0.34,0.49,0.06,0.77,0.90,0.98,0.04
November,23,750,817,882,37.2,0.26,0.38,0.52,0.07,0.80,0.95,1.08,0.05
November,24,782,842,921,35.5,0.27,0.43,0.58,0.08,0.90,1.02,1.16,0.05
December,Monthly Average,649,853,"1,091",90.1,0.19,0.40,0.73,0.08,0.69,1.02,1.38,0.14
December,1,839,916,"1,016",45.9,0.36,0.47,0.62,0.06,0.99,1.14,1.30,0.07
December,2,872,972,"1,083",49.9,0.42,0.51,0.67,0.06,1.05,1.21,1.36,0.07
December,3,908,993,"1,089",45.9,0.43,0.54,0.73,0.06,1.11,1.26,1.38,0.07
December,4,933,"1,003","1,091",41.3,0.42,0.54,0.69,0.06,1.10,1.27,1.37,0.07
December,5,930,996,"1,079",41.4,0.39,0.52,0.60,0.05,1.07,1.24,1.36,0.07
December,6,885,954,"1,046",46.3,0.35,0.45,0.57,0.05,1.00,1.15,1.33,0.08
December,7,816,893,989,52.9,0.28,0.39,0.54,0.06,0.88,1.05,1.28,0.10
December,8,775,855,950,49.1,0.28,0.38,0.51,0.06,0.84,1.01,1.22,0.10
December,9,767,837,916,41.7,0.28,0.37,0.51,0.05,0.82,0.98,1.18,0.08
December,10,748,822,905,38.3,0.29,0.36,0.43,0.04,0.83,0.96,1.07,0.06
December,11,731,812,893,39.5,0.28,0.35,0.42,0.04,0.80,0.95,1.05,0.07
December,12,731,815,900,42.0,0.30,0.36,0.43,0.03,0.82,0.96,1.06,0.07
December,13,734,820,910,41.6,0.32,0.38,0.47,0.03,0.84,0.97,1.10,0.07
December,14,734,827,921,43.4,0.34,0.39,0.49,0.04,0.85,0.99,1.13,0.07
December,15,737,830,912,43.0,0.33,0.40,0.50,0.04,0.85,0.99,1.14,0.07
December,16,746,839,925,43.1,0.33,0.40,0.51,0.04,0.87,1.00,1.15,0.07
December,17,757,833,916,41.3,0.25,0.36,0.45,0.04,0.78,0.97,1.09,0.07
December,18,685,758,836,37.7,0.19,0.30,0.38,0.04,0.69,0.86,0.98,0.06
December,19,649,722,803,36.9,0.23,0.29,0.38,0.03,0.70,0.82,0.92,0.06
December,20,657,736,811,36.6,0.26,0.31,0.38,0.03,0.74,0.84,0.93,0.05
December,21,680,757,837,36.1,0.27,0.33,0.39,0.03,0.79,0.88,0.96,0.04
December,22,717,796,880,36.3,0.30,0.37,0.46,0.03,0.84,0.94,1.05,0.04
December,23,769,836,917,34.9,0.32,0.41,0.51,0.04,0.92,1.01,1.11,0.05
December,24,784,858,937,36.6,0.31,0.43,0.56,0.06,0.96,1.06,1.20,0.06
-,Annual Average,595,814,"1,095",89.6,0.15,0.40,0.89,0.12,0.62,1.00,1.55,0.17
