zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
23480,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23483,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23407,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23336,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23337,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23429,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23426,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23427,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23420,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23421,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23422,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23423,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23308,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23301,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23303,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23302,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23307,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23306,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23389,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23357,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23354,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23350,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23415,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23414,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23417,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23416,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23410,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23413,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23412,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23419,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23418,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23356,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23358,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23359,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23442,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23440,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23441,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23398,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23399,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23396,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
23341,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10983879554768657,0.08916554429935,0.1173313465646087
62360,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62376,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62375,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62373,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
61452,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
61455,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62320,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62379,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62359,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62319,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62314,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62316,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62311,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62312,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62618,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62611,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62343,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62340,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62346,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62347,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62344,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62345,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62349,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62378,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62624,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62339,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62338,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62365,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62367,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62681,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
61440,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62351,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62353,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62305,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62324,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62325,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
62665,97,Adams Electric Coop,IL,Bundled,Cooperative,0.10187032172693698,0,0.1407874308086945
53952,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53955,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53954,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53959,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54646,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53956,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53590,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53594,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53901,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54923,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54921,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53930,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53933,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53932,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53934,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53936,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54970,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54976,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53964,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53960,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54941,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54943,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54494,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53916,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53910,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53913,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53559,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53948,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53949,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53944,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53946,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54968,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54966,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54960,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54930,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54984,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54981,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54982,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53923,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53920,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53926,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
53925,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54909,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54613,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
54457,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124210732636118,0.089879905148015,0.1554497979892238
45167,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45101,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45663,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45660,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45661,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
