-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
March,6,"1,293","1,410","1,525",65.8,3.92,4.67,5.86,0.51,1.98,2.28,2.56,0.16
March,7,"1,175","1,343","1,521",97.7,1.95,4.09,5.89,0.95,1.59,2.12,2.53,0.23
March,8,"1,169","1,308","1,474",75.2,2.08,3.75,5.06,0.71,1.55,2.04,2.44,0.19
March,9,"1,194","1,290","1,394",49.9,2.53,3.65,4.61,0.45,1.63,1.99,2.23,0.14
March,10,"1,192","1,272","1,369",42.1,2.56,3.51,4.31,0.44,1.66,1.94,2.15,0.11
March,11,"1,201","1,266","1,350",34.7,2.69,3.46,4.07,0.35,1.66,1.91,2.10,0.10
March,12,"1,195","1,261","1,337",33.1,2.46,3.37,3.88,0.30,1.69,1.89,2.07,0.09
March,13,"1,205","1,261","1,355",30.9,2.77,3.36,4.00,0.27,1.76,1.88,2.10,0.08
March,14,"1,173","1,259","1,355",35.4,2.78,3.37,4.00,0.27,1.68,1.88,2.11,0.09
March,15,"1,174","1,260","1,350",33.4,2.96,3.36,3.92,0.27,1.66,1.87,2.09,0.09
March,16,"1,195","1,262","1,354",33.4,2.56,3.39,3.94,0.31,1.72,1.88,2.12,0.09
March,17,"1,193","1,263","1,340",34.6,2.67,3.39,4.09,0.34,1.70,1.88,2.09,0.10
March,18,"1,194","1,261","1,348",35.3,2.39,3.40,3.97,0.34,1.65,1.89,2.09,0.11
March,19,"1,161","1,245","1,335",40.3,1.93,3.15,3.88,0.47,1.50,1.84,2.08,0.13
March,20,"1,169","1,245","1,326",36.8,1.91,3.12,3.94,0.45,1.55,1.83,2.02,0.13
March,21,"1,210","1,267","1,352",33.9,2.82,3.49,4.04,0.35,1.75,1.92,2.14,0.10
March,22,"1,170","1,281","1,362",47.6,1.71,3.52,4.29,0.53,1.55,1.97,2.18,0.14
March,23,"1,237","1,329","1,424",41.1,3.29,4.06,4.73,0.37,1.93,2.09,2.32,0.09
March,24,"1,277","1,382","1,494",45.7,3.86,4.47,5.55,0.41,2.04,2.21,2.42,0.10
April,Monthly Average,"1,192","1,364","1,647",114.1,1.75,3.86,6.63,1.17,1.52,2.03,2.64,0.29
April,1,"1,359","1,477","1,568",51.0,3.75,5.11,6.22,0.59,2.08,2.31,2.53,0.12
April,2,"1,418","1,531","1,647",53.8,4.24,5.63,6.60,0.58,2.19,2.41,2.61,0.12
April,3,"1,420","1,562","1,642",50.5,4.26,5.85,6.62,0.57,2.22,2.47,2.63,0.10
April,4,"1,478","1,570","1,637",46.8,4.69,5.83,6.60,0.54,2.31,2.49,2.64,0.09
April,5,"1,441","1,549","1,626",50.0,4.52,5.60,6.63,0.58,2.25,2.46,2.64,0.10
April,6,"1,362","1,483","1,606",69.1,3.66,4.97,6.46,0.70,2.05,2.35,2.63,0.15
April,7,"1,294","1,405","1,595",97.2,3.08,4.22,6.39,0.97,1.92,2.18,2.61,0.21
April,8,"1,257","1,379","1,582",81.6,2.73,4.07,6.03,0.82,1.77,2.12,2.58,0.19
April,9,"1,226","1,343","1,517",57.2,2.36,3.72,5.30,0.54,1.71,2.04,2.43,0.15
April,10,"1,251","1,317","1,423",39.6,2.92,3.47,4.22,0.34,1.73,1.97,2.25,0.12
April,11,"1,238","1,303","1,407",36.6,2.51,3.29,4.14,0.37,1.70,1.91,2.19,0.12
April,12,"1,228","1,293","1,369",35.3,2.08,3.13,3.95,0.42,1.63,1.86,2.16,0.13
April,13,"1,231","1,285","1,372",33.1,2.11,3.04,3.86,0.38,1.63,1.83,2.14,0.13
April,14,"1,214","1,279","1,364",33.6,1.88,2.96,3.70,0.41,1.60,1.80,2.11,0.13
April,15,"1,218","1,277","1,353",31.4,2.01,2.96,3.79,0.40,1.61,1.79,2.11,0.14
April,16,"1,225","1,272","1,351",31.5,2.15,2.87,3.78,0.39,1.58,1.76,2.11,0.14
April,17,"1,218","1,272","1,367",28.6,1.91,2.89,3.95,0.39,1.55,1.75,2.14,0.14
April,18,"1,224","1,273","1,355",29.0,2.16,2.87,3.80,0.39,1.57,1.74,2.12,0.14
April,19,"1,215","1,277","1,370",30.2,2.22,2.93,3.95,0.39,1.60,1.76,2.15,0.14
April,20,"1,194","1,281","1,361",33.1,1.75,3.02,3.86,0.46,1.52,1.79,2.15,0.14
April,21,"1,192","1,275","1,356",30.3,1.91,2.89,3.74,0.40,1.60,1.77,2.14,0.13
April,22,"1,257","1,304","1,381",30.3,2.62,3.32,4.15,0.40,1.71,1.88,2.19,0.13
April,23,"1,272","1,333","1,438",39.4,2.73,3.60,4.71,0.48,1.83,1.99,2.30,0.12
April,24,"1,341","1,403","1,512",41.2,3.56,4.38,5.62,0.48,2.04,2.16,2.47,0.11
May,Monthly Average,"1,164","1,321","1,594",114.0,1.61,3.32,6.13,1.11,1.45,1.99,2.66,0.32
May,1,"1,321","1,424","1,525",52.2,3.71,4.49,5.86,0.58,2.02,2.30,2.59,0.13
May,2,"1,368","1,479","1,574",64.2,3.63,4.91,6.01,0.65,2.10,2.42,2.63,0.14
May,3,"1,415","1,506","1,593",56.0,4.24,5.08,6.13,0.58,2.23,2.47,2.64,0.12
May,4,"1,422","1,516","1,594",54.9,4.04,5.10,6.02,0.54,2.24,2.50,2.66,0.12
May,5,"1,356","1,503","1,590",61.7,3.68,4.96,5.83,0.55,2.17,2.48,2.66,0.14
May,6,"1,302","1,457","1,592",73.7,3.37,4.51,5.68,0.65,2.05,2.39,2.65,0.16
May,7,"1,229","1,395","1,591",98.6,2.29,3.97,5.73,0.89,1.90,2.24,2.61,0.22
May,8,"1,206","1,353","1,545",97.3,2.09,3.63,5.58,0.93,1.72,2.13,2.55,0.23
May,9,"1,206","1,308","1,430",47.0,2.22,3.21,4.14,0.40,1.73,2.02,2.25,0.12
May,10,"1,186","1,267","1,364",38.0,1.93,2.83,4.06,0.43,1.66,1.90,2.15,0.10
May,11,"1,194","1,255","1,327",31.4,1.83,2.75,3.45,0.35,1.61,1.85,1.99,0.10
May,12,"1,174","1,241","1,306",32.3,1.82,2.53,3.26,0.43,1.53,1.78,1.95,0.11
May,13,"1,185","1,235","1,308",25.6,1.87,2.50,3.26,0.31,1.52,1.75,1.93,0.11
May,14,"1,184","1,226","1,298",24.8,1.73,2.36,3.16,0.33,1.47,1.70,1.91,0.10
May,15,"1,181","1,229","1,282",21.9,1.98,2.43,2.96,0.28,1.53,1.70,1.92,0.10
May,16,"1,164","1,224","1,294",25.1,1.80,2.29,3.04,0.30,1.45,1.67,1.90,0.10
May,17,"1,170","1,227","1,285",22.6,2.00,2.35,2.88,0.24,1.48,1.67,1.87,0.09
May,18,"1,174","1,229","1,288",21.9,1.87,2.33,3.00,0.31,1.48,1.68,1.92,0.10
May,19,"1,176","1,238","1,293",22.4,1.63,2.50,3.15,0.31,1.53,1.72,1.91,0.10
May,20,"1,196","1,241","1,291",22.2,1.85,2.51,3.05,0.34,1.53,1.75,1.92,0.10
May,21,"1,170","1,242","1,294",27.6,1.61,2.53,3.20,0.43,1.52,1.76,1.97,0.12
May,22,"1,211","1,257","1,310",24.5,2.00,2.78,3.35,0.35,1.54,1.83,2.06,0.10
May,23,"1,216","1,301","1,348",31.8,2.06,3.32,3.98,0.45,1.71,1.98,2.17,0.11
May,24,"1,257","1,350","1,444",36.3,2.75,3.79,4.62,0.40,1.78,2.12,2.30,0.10
June,Monthly Average,"1,151","1,288","1,578",109.8,1.39,2.82,5.46,1.19,1.48,1.92,2.66,0.33
June,1,"1,274","1,375","1,474",37.8,2.75,4.08,5.03,0.48,2.05,2.24,2.46,0.09
June,2,"1,321","1,420","1,518",53.2,3.09,4.34,5.43,0.58,2.10,2.33,2.54,0.12
June,3,"1,362","1,469","1,554",46.5,4.02,4.73,5.43,0.44,2.20,2.44,2.62,0.09
June,4,"1,349","1,487","1,558",52.5,3.75,4.77,5.46,0.51,2.18,2.46,2.63,0.10
June,5,"1,359","1,482","1,566",48.2,3.98,4.63,5.43,0.43,2.20,2.46,2.64,0.10
June,6,"1,234","1,419","1,569",91.9,2.44,3.93,5.38,0.93,1.94,2.32,2.66,0.19
June,7,"1,228","1,369","1,578",97.9,2.19,3.53,5.42,0.94,1.87,2.19,2.65,0.20
June,8,"1,151","1,290","1,528",108.7,1.88,2.81,5.10,0.99,1.63,2.01,2.57,0.25
June,9,"1,195","1,242","1,374",42.9,1.85,2.32,3.22,0.36,1.72,1.89,2.23,0.11
June,10,"1,160","1,220","1,307",34.6,1.82,2.13,3.17,0.36,1.62,1.79,2.06,0.12
June,11,"1,164","1,217","1,298",31.4,1.60,2.11,3.22,0.42,1.54,1.74,2.04,0.12
June,12,"1,162","1,205","1,245",18.4,1.60,1.88,2.42,0.24,1.48,1.66,1.89,0.10
June,13,"1,173","1,211","1,270",19.5,1.52,1.95,2.96,0.31,1.52,1.66,1.91,0.10
June,14,"1,173","1,209","1,248",15.1,1.60,1.90,2.64,0.26,1.51,1.64,1.87,0.08
June,15,"1,174","1,212","1,253",17.5,1.60,1.93,2.72,0.27,1.51,1.64,1.88,0.08
June,16,"1,172","1,214","1,258",16.9,1.62,1.97,3.01,0.37,1.49,1.65,1.85,0.10
June,17,"1,188","1,212","1,260",16.1,1.49,1.88,2.67,0.28,1.50,1.63,1.87,0.08
June,18,"1,182","1,217","1,262",18.1,1.39,2.02,2.99,0.42,1.48,1.66,1.88,0.11
June,19,"1,183","1,214","1,257",17.0,1.40,1.96,3.12,0.38,1.48,1.65,1.97,0.10
June,20,"1,180","1,220","1,276",23.3,1.45,2.16,3.50,0.59,1.50,1.71,2.02,0.15
June,21,"1,180","1,217","1,286",22.4,1.46,2.09,3.21,0.48,1.51,1.70,2.03,0.13
June,22,"1,180","1,232","1,305",32.3,1.57,2.42,3.84,0.72,1.51,1.78,2.08,0.17
June,23,"1,185","1,241","1,330",41.5,1.59,2.68,4.02,0.87,1.56,1.85,2.15,0.18
June,24,"1,196","1,310","1,415",71.9,1.79,3.49,4.98,1.11,1.67,2.05,2.36,0.22
July,Monthly Average,"1,135","1,277","1,609",102.4,1.24,2.53,5.53,1.14,1.35,1.84,2.61,0.32
July,1,"1,202","1,345","1,439",57.6,1.87,3.68,4.75,0.74,1.72,2.13,2.35,0.14
July,2,"1,183","1,370","1,501",77.9,2.03,3.71,4.92,0.86,1.73,2.20,2.45,0.16
July,3,"1,283","1,440","1,552",64.9,2.61,4.42,5.23,0.61,1.96,2.35,2.57,0.13
July,4,"1,276","1,448","1,572",83.6,2.48,4.31,5.33,0.85,2.02,2.36,2.60,0.15
July,5,"1,302","1,461","1,609",71.9,2.44,4.39,5.53,0.64,2.02,2.38,2.61,0.15
July,6,"1,207","1,387","1,567",105.9,2.05,3.51,5.35,1.05,1.81,2.22,2.56,0.20
July,7,"1,247","1,378","1,570",91.0,2.04,3.58,5.20,0.85,1.86,2.19,2.53,0.18
July,8,"1,149","1,288","1,499",101.1,1.76,2.67,4.52,0.95,1.61,1.97,2.38,0.22
July,9,"1,140","1,238","1,335",49.4,1.63,2.21,3.08,0.40,1.57,1.84,2.07,0.12
July,10,"1,147","1,208","1,265",27.3,1.48,1.88,2.33,0.23,1.51,1.70,1.87,0.10
July,11,"1,135","1,202","1,248",24.7,1.34,1.76,2.40,0.24,1.38,1.61,1.79,0.09
July,12,"1,152","1,201","1,235",19.1,1.41,1.66,2.06,0.14,1.42,1.57,1.66,0.06
July,13,"1,142","1,203","1,235",22.8,1.27,1.60,1.98,0.15,1.35,1.56,1.67,0.07
July,14,"1,151","1,209","1,245",21.9,1.37,1.64,1.85,0.12,1.38,1.56,1.64,0.06
July,15,"1,152","1,214","1,242",22.7,1.26,1.70,1.97,0.15,1.38,1.57,1.66,0.06
July,16,"1,156","1,215","1,244",21.6,1.33,1.70,1.93,0.15,1.39,1.57,1.64,0.06
July,17,"1,155","1,216","1,244",22.1,1.26,1.68,2.03,0.15,1.39,1.57,1.67,0.06
July,18,"1,155","1,219","1,261",20.4,1.43,1.72,2.04,0.14,1.39,1.59,1.70,0.06
July,19,"1,150","1,217","1,265",24.2,1.24,1.68,2.15,0.19,1.39,1.59,1.74,0.07
July,20,"1,151","1,219","1,252",19.5,1.41,1.78,2.28,0.25,1.41,1.61,1.77,0.07
July,21,"1,152","1,218","1,273",25.2,1.44,1.78,2.94,0.29,1.43,1.61,1.86,0.09
July,22,"1,147","1,225","1,283",26.3,1.50,2.00,2.85,0.39,1.42,1.67,1.90,0.10
July,23,"1,191","1,248","1,341",39.9,1.61,2.54,4.08,0.65,1.54,1.81,2.14,0.14
July,24,"1,142","1,287","1,376",57.5,1.68,3.05,4.71,0.87,1.62,1.96,2.21,0.16
August,Monthly Average,"1,150","1,260","1,522",90.1,1.26,2.51,5.02,1.05,1.42,1.83,2.50,0.30
