-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
November,Monthly Average,"1,155","1,315","1,582",95.5,1.39,3.23,5.78,0.90,1.37,1.99,2.56,0.26
November,1,"1,268","1,404","1,516",53.3,2.59,4.11,5.29,0.51,1.89,2.26,2.45,0.12
November,2,"1,278","1,442","1,582",68.3,2.12,4.33,5.78,0.74,1.87,2.33,2.55,0.14
November,3,"1,292","1,472","1,581",63.7,2.84,4.58,5.62,0.66,1.97,2.39,2.56,0.13
November,4,"1,321","1,475","1,578",60.7,2.58,4.53,5.58,0.65,2.05,2.40,2.56,0.13
November,5,"1,294","1,462","1,571",64.4,2.70,4.37,5.49,0.64,1.94,2.37,2.55,0.15
November,6,"1,199","1,404","1,533",77.6,1.87,3.87,5.19,0.74,1.65,2.23,2.52,0.20
November,7,"1,191","1,337","1,516",85.3,1.63,3.34,4.96,0.91,1.56,2.05,2.50,0.23
November,8,"1,178","1,303","1,473",72.0,1.62,3.08,4.65,0.76,1.53,1.97,2.39,0.20
November,9,"1,202","1,282","1,360",42.1,1.76,2.97,3.85,0.53,1.59,1.92,2.12,0.13
November,10,"1,171","1,267","1,341",42.2,1.59,2.83,3.60,0.55,1.52,1.86,2.02,0.12
November,11,"1,203","1,271","1,344",30.8,1.67,2.94,3.86,0.48,1.55,1.87,2.03,0.11
November,12,"1,172","1,259","1,368",47.4,1.61,2.73,3.82,0.58,1.54,1.83,2.13,0.14
November,13,"1,201","1,268","1,330",37.7,1.65,2.87,3.57,0.44,1.55,1.85,2.02,0.12
November,14,"1,170","1,263","1,406",50.2,1.59,2.79,3.69,0.49,1.53,1.84,2.20,0.14
November,15,"1,194","1,267","1,402",46.4,1.68,2.84,3.54,0.44,1.57,1.85,2.19,0.13
November,16,"1,171","1,265","1,415",52.2,1.60,2.78,3.55,0.48,1.54,1.84,2.21,0.15
November,17,"1,204","1,261","1,442",46.9,1.70,2.72,3.94,0.48,1.58,1.84,2.26,0.14
November,18,"1,169","1,232","1,286",29.6,1.56,2.35,3.13,0.48,1.51,1.76,1.95,0.12
November,19,"1,181","1,239","1,355",38.6,1.59,2.56,3.80,0.50,1.53,1.76,2.08,0.13
November,20,"1,155","1,233","1,278",28.5,1.39,2.46,3.47,0.48,1.37,1.74,1.98,0.13
November,21,"1,196","1,256","1,343",39.8,1.49,2.92,4.02,0.62,1.47,1.86,2.08,0.15
November,22,"1,170","1,261","1,320",37.9,1.39,2.78,3.92,0.66,1.39,1.87,2.08,0.17
November,23,"1,200","1,295","1,372",44.3,1.50,3.31,4.39,0.53,1.48,2.00,2.21,0.14
November,24,"1,193","1,340","1,407",52.4,1.72,3.54,4.66,0.61,1.61,2.10,2.30,0.16
December,Monthly Average,"1,129","1,247","1,515",75.4,1.12,2.49,5.67,0.97,1.34,1.81,2.56,0.25
December,1,"1,185","1,321","1,431",79.4,1.49,3.46,5.38,1.19,1.54,2.05,2.41,0.24
December,2,"1,154","1,311","1,493",102.0,1.50,3.10,5.05,1.20,1.58,2.03,2.51,0.28
December,3,"1,208","1,353","1,496",87.1,1.66,3.49,5.42,1.11,1.66,2.13,2.52,0.24
December,4,"1,177","1,318","1,515",98.4,1.44,3.06,5.67,1.16,1.62,2.06,2.52,0.26
December,5,"1,208","1,332","1,493",81.1,1.55,3.17,5.35,1.01,1.67,2.08,2.56,0.23
December,6,"1,168","1,272","1,465",73.2,1.46,2.59,5.09,0.85,1.53,1.92,2.40,0.22
December,7,"1,155","1,243","1,422",59.8,1.33,2.32,4.72,0.76,1.45,1.81,2.31,0.21
December,8,"1,167","1,215","1,377",42.3,1.28,2.02,4.20,0.55,1.41,1.70,2.19,0.18
December,9,"1,167","1,220","1,326",36.2,1.28,2.19,3.88,0.60,1.42,1.71,2.10,0.16
December,10,"1,160","1,210","1,281",33.7,1.30,2.04,3.39,0.53,1.41,1.67,1.99,0.15
December,11,"1,155","1,216","1,305",36.5,1.38,2.21,3.71,0.66,1.48,1.70,2.03,0.14
December,12,"1,146","1,216","1,313",42.7,1.37,2.20,3.37,0.63,1.41,1.71,2.00,0.16
December,13,"1,159","1,233","1,349",49.1,1.39,2.43,4.52,0.83,1.48,1.78,2.17,0.17
December,14,"1,131","1,235","1,364",61.2,1.20,2.38,3.75,0.78,1.42,1.77,2.13,0.21
December,15,"1,158","1,246","1,370",59.1,1.35,2.57,4.21,0.93,1.37,1.82,2.20,0.20
December,16,"1,129","1,243","1,393",68.1,1.18,2.45,4.03,0.87,1.42,1.79,2.20,0.23
December,17,"1,149","1,234","1,345",49.2,1.31,2.30,4.09,0.66,1.36,1.78,2.16,0.17
December,18,"1,137","1,201","1,303",38.1,1.16,1.90,2.89,0.44,1.39,1.66,1.95,0.15
December,19,"1,147","1,206","1,287",28.2,1.37,2.04,3.42,0.52,1.39,1.64,1.93,0.14
December,20,"1,144","1,200","1,266",32.8,1.13,1.94,3.40,0.53,1.40,1.61,1.94,0.15
December,21,"1,149","1,213","1,268",31.5,1.38,2.30,4.14,0.78,1.40,1.69,1.98,0.18
December,22,"1,141","1,205","1,295",42.2,1.12,2.12,3.41,0.73,1.39,1.65,1.99,0.19
December,23,"1,142","1,240","1,352",51.0,1.43,2.83,4.97,1.10,1.42,1.83,2.22,0.22
December,24,"1,140","1,244","1,374",77.5,1.18,2.70,4.40,1.15,1.34,1.82,2.26,0.27
-,Annual Average,"1,129","1,298","1,678",105.5,1.12,3.11,6.63,1.15,1.34,1.95,2.73,0.30
