OBJECTID,Acreage,SqMi,Name,GlobalID,Shape__Area,Shape__Length
6,2603.09760769,4.12675196,County,8b12ca0c-f0da-42b0-96ce-e89ba7ade662,115046779.128418,717774.549102374
7,19.50291037,0.0304733,Hanna City,7622b4a3-2cb6-47c9-adfa-3ec3d7019982,849543.380615234,21325.5247550148
8,71.61782854,0.11190286,Elmwood,f6de505c-fcfb-4348-9473-fdd09d3597f3,3119660.13330078,36082.6206019916
9,344.31413453,0.53799084,Princeville,5f5bde11-c4bc-4a3b-b890-51d79e307a30,14998263.7080078,71088.8699697262
10,408.29071374,0.63795424,Chillicothe,ec1bb14a-d02e-4d13-8358-637c5d2b6a77,17785072.3540039,138406.591498339
