OBJECTID,Tax_Code,GlobalID,Shape__Area,Shape__Length
828,195,dc89b8b7-1006-407d-bd3c-9bee058a207a,3350758.64013672,8700.05036959808
829,200,88052c78-07e0-4096-b031-53a2f063b67b,2623270.3828125,10903.2387903306
830,203,e1330958-6aad-48a9-8def-7d607e3520c7,6008242.75195313,14327.8172040923
831,207,008eddb5-e345-44e4-bb5a-b5d5f9fa1c3c,62599828.7158203,101646.422727751
832,211,1b4708d1-39e3-43f6-a454-91020f4aa4dc,3440950.06542969,7865.65382784636
833,212,414203c2-a467-4940-8e34-1d64ccfaa02b,4018479.06323242,13276.3649972946
834,214,c92b39a6-0bf2-45a8-908c-65fe3750cc6e,262782.398193359,2581.28812401082
835,215,4aa8fb7a-f316-47bd-9598-986f7e11a234,1398772.09765625,11077.9856955595
836,216,5cee4513-0334-4269-ab30-d9f0ed6b3ea5,2851627.51171875,22860.7140470348
837,217,d942c4dc-1583-49f3-8250-f9d9e4a41b23,1078547.15454102,5522.72786946279
838,218,897e1900-28c6-4a7b-908b-c38caad275d7,379206.889404297,7287.84730136536
839,245,796e947a-740f-45fc-bfa3-7d46c73cf101,2636455.67114258,10738.525292903
840,246,ac814dc1-b73f-43c6-afe8-fe4e5964ff77,150504.220458984,1552.46919959528
841,247,5d969f51-d4b7-47a0-a198-148f96fc32bf,162084.878417969,1624.71801062152
842,250,8adefe44-0bc6-48e1-9c18-cde85b0d668d,9896318.89648438,16983.4152027936
843,251,b47970b3-6c51-4c4d-8be9-cecd0c16fd6b,34491397.9995117,35755.105090876
844,252,6c17df1a-0525-428b-bac7-d66ed6443982,48485519.6313477,37213.4607019983
845,253,df32b795-4291-4a7b-aa09-5e677dcfecdd,942197.958007813,5459.25708602471
846,254,0b278b4f-2a06-4f94-8ce7-8b209810008b,51484576.5368652,86765.2904071954
847,255,4e5dcb65-9785-4e3e-a4fc-78e15d1f5fe3,12708489.0244141,34784.6084369864
848,256,c45db781-f738-4ab7-8940-835188695db7,237343912.671143,69557.3154214048
849,257,33ea8729-3d24-4c1a-b023-3a82352de89a,98632631.2543945,42754.9567099254
850,258,48a35379-3ef8-4cfa-818e-31d26a849efc,14399332.4472656,16074.210289943
851,259,6f407844-2a03-43d2-891a-0e7a46fae62b,14107540.8288574,21697.7717624169
852,260,6c78142c-78f0-4488-b29a-ad42478bdc07,31565489.4401855,51776.8774582708
853,261,deddd635-639f-43ac-b448-01cf91a19399,12462086.5927734,45227.2979272214
854,262,d70d31c9-8ed2-44d8-9024-59f5f647230b,29972278.9311523,24138.0558504104
855,263,2ee48144-fefb-4b19-b19c-f938504e3a8c,13613274.1113281,20580.644520482
856,264,91c69cf4-55f8-4c78-8d3f-e084fe6c3d74,86147321.8615723,57564.0228472203
857,268,7d674cd9-ceeb-4788-ac26-579ffa9183a3,14843132.6633301,24034.7193899774
858,269,13542580-be5a-44e6-907d-05a429deff64,130452.108398438,1977.22819532453
859,272,d6ef642f-f507-415b-9e79-26d8ea2ff3cf,8311333.9309082,42054.6330689966
860,273,ec71d5a4-5d3c-43e6-9fd6-c806e12d9d15,185919.940917969,2394.73116304401
861,274,58ab4e53-6563-4327-affd-4f5f44c205e1,68503147.6489258,137664.049324991
862,276,2cc19a1b-2001-4196-a971-b37a01772ccc,532535.099365234,2989.16160837884
863,277,dcbabb39-02fd-4055-a249-725b86bd9a43,287801.565429688,2583.2850317318
864,278,07c9c22e-4d58-4a0f-b35f-4dac595c5fd6,9385821.25561523,29562.1926914166
865,281,651eea24-a3f1-4c33-b3ab-d91067693389,11914873.2758789,54655.8557860127
866,283,64ef605f-7574-4f5b-9cf8-3bc4b534367f,312369.735839844,3021.1790527393
867,284,0f9d3ade-c48e-4056-b73c-9e430c791d60,909327.307373047,3905.998773223
868,285,a6d4f70c-c562-4a14-939a-c8aa89964b50,1494780.31713867,8287.02654144022
869,286,99abe2d2-835b-4051-ae71-a2d97d1b312d,2414397.96313477,10393.5529458783
870,287,1ba147df-e1c5-40e3-8ba8-fa7c1a864b47,2030010.05810547,11734.3259083152
871,289,88c3ecc0-c1f4-40d3-a70f-29455d0b8a37,89182.1376953125,1303.00924945867
872,291,185140f0-0c31-43ee-a449-210dadb6eab4,249567.332275391,2092.03984225872
873,293,eb823e0c-0bde-4ec0-918f-e56ad104c8c9,2219144.11206055,9558.83586277416
874,294,5695766f-0047-4ca1-9ee6-af8011436af2,4371563.55175781,9438.44685026775
875,295,bbd6d032-4015-4fe5-8ae1-75e5851ea2f8,61420316.6777344,41549.9796736265
876,296,e620fa81-73c4-4719-a70a-57f0d190dc88,9864190.51391602,12905.8802426887
877,300,1cf2b8ff-b169-4d74-9476-9740e490be31,7448065.38037109,17731.7930164071
878,301,79652ed3-498f-49eb-a6d2-c6100db6b01a,49993712.0649414,70332.0468684639
879,302,0dcd5570-1058-4cb5-915c-f72e08b04e29,43515583.0527344,52220.3618083572
880,303,9f902a4c-e8e5-411f-baf8-665cd62b400a,8525288.91699219,12984.6909062229
881,304,5dafb652-bb37-4698-be15-309392d7e69b,63072471.201416,42712.5544195195
882,306,450e3333-34c5-4e2c-b3b6-e9e4e9637b09,97115954.4575195,65171.0397535047
883,308,232b77a4-f387-48d9-87cd-05bfbce29525,1167564.53735352,11122.1749477906
884,309,075b3cb2-5c16-4d9f-b44a-bf99a2352fd3,7998360.78271484,27152.3361987551
885,310,ac7bd5f0-2096-4197-86fc-cb6fc363d7d0,43879298.2792969,75473.2955042983
886,311,17ee068d-a3ac-437d-a49e-dad04f6b7ccd,2398336.17895508,14106.9968778383
887,312,f93d0f8a-0659-4286-b3c4-9ba3fb1a8777,16786568.2905273,41082.0439250851
888,314,9e08e3a5-343e-4028-9f9f-d96e128a4d63,628924.354492188,7418.07670465424
889,315,a0eb4a97-a773-4f27-96d5-b711c944e687,8954653.97509766,22005.0169763317
890,318,c258bf93-3d9d-48e5-a123-ff966c4e94c8,14700468.7641602,23287.8985092722
891,319,cacd9cd6-be29-4216-be86-0ce6975fadc6,61113219.5844727,71698.0739468434
892,320,abb8ac6f-c3c5-4777-be92-04df418b8db6,850519.922607422,6400.73724884764
893,322,d5fe8071-3ea5-4ad7-9c51-dc16b8c85093,2514291.01245117,9670.29911483802
894,323,07f70371-2b04-496d-9ec6-3bc5d4ab0f3c,36142659.0852051,47462.9013248271
895,324,2ea70b1e-7e0e-49a4-a4d1-7edb98ddb8cf,279195.103027344,2170.63272866177
896,325,9e5897ad-c1cd-4015-b658-7d27c1f28089,10548615.7946777,24609.8578074965
897,326,e4ee66dd-87d5-4c40-8139-78fe25a02890,77574306.1921387,83350.1162155687
898,327,dea4a0fa-3157-463e-8d57-36c464d699e7,44066746.5620117,44847.3907753495
899,328,94280de3-02ad-4a61-84f0-3b3cd1b82812,13849445.8483887,15541.8030572156
900,329,7e681907-12af-4209-8e9f-db871bd46a96,19729161.0112305,41924.7471194956
901,330,6a8efb54-5a3a-4428-947d-244c24a8dc2c,28797364.4707031,48692.2378363187
902,331,d84e01ad-3801-4ed0-b371-e937b3397641,1761690.09790039,5309.75924457952
903,332,ca5ee0c6-0509-40c6-a26e-e1246fed3964,21987026.3874512,39749.1705055856
904,333,e2679246-3a86-405e-baca-64769ea09927,9369421.64794922,32787.6421033763
905,334,865b392c-3573-4333-8315-a5d4784ce315,5368563.875,21723.0645254647
906,340,430c6909-d8c6-45b3-8fb0-b529ccd2f94c,2493676.89111328,6868.04110726629
907,341,b8a4a684-bb36-417b-a023-a866a6fcf447,9520904.87792969,19104.4815787085
908,342,30bf61f2-dd6d-41af-a471-c5cc27f694c5,6923767.82495117,10526.578978262
909,344,001c9727-0d0d-4280-8b96-54eacf050554,924481.385253906,4855.4009017951
910,346,7531485a-99e4-47b4-93e0-677f62c6d6a6,330285.583740234,3887.25857826641
911,348,bf73ae77-6fb2-448b-b04b-5b7c38cd88a7,560957.458007813,3379.32710578385
912,350,9fda583a-a22f-4f71-8268-ba48b374ad3e,41632870.1828613,37323.0587752621
913,351,1644ca21-95f3-446a-80e2-f6845a2aacea,42771212.3125,36139.3114010109
914,352,8554e640-66c1-4aec-be96-1450cc7ea405,21998523.8562012,19371.370831909
915,354,e8bf0ec2-ec1a-4be7-b088-b9fc097036d1,242358644.092529,155652.925813634
916,357,f8e2be98-d06f-442d-b13d-ad0a4b53e074,1960490.82714844,7286.55870998865
917,359,748a2b1a-5b9b-418a-8d24-104c8f578235,17758256.3498535,18548.5858507775
918,360,5ffcd044-48f0-4d6c-b141-94259bfa8740,9386576.38647461,18911.6602115635
919,361,f700122e-2fc6-479f-b9d3-1d5ed179ba9e,101539140.982666,82053.8264065612
920,362,d593f906-09ba-4be8-9a73-e0697fbabc23,3398963.08959961,10938.9647083655
