-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
March,6,"1,127","1,304","1,606",109.5,2.33,3.45,4.85,0.57,0.64,0.78,1.04,0.09
March,7,"1,086","1,252","1,499",104.9,2.07,3.13,4.23,0.57,0.58,0.73,0.95,0.09
March,8,"1,071","1,245","1,485",96.5,2.05,3.07,4.13,0.52,0.59,0.73,0.93,0.08
March,9,"1,082","1,231","1,443",84.2,2.15,2.99,3.88,0.44,0.59,0.71,0.89,0.07
March,10,"1,097","1,228","1,438",77.3,2.17,2.92,3.69,0.38,0.59,0.71,0.89,0.06
March,11,"1,092","1,225","1,421",72.5,2.12,2.88,3.57,0.34,0.59,0.70,0.86,0.06
March,12,"1,063","1,218","1,398",69.0,2.08,2.84,3.44,0.32,0.55,0.70,0.84,0.06
March,13,"1,087","1,217","1,354",62.9,2.03,2.82,3.26,0.31,0.55,0.69,0.81,0.06
March,14,"1,094","1,217","1,336",63.5,1.98,2.81,3.25,0.31,0.54,0.69,0.79,0.06
March,15,"1,089","1,218","1,329",62.9,1.94,2.80,3.22,0.31,0.54,0.69,0.78,0.06
March,16,"1,068","1,220","1,336",64.9,1.92,2.80,3.35,0.32,0.54,0.70,0.79,0.06
March,17,"1,060","1,220","1,332",64.6,1.89,2.80,3.31,0.32,0.53,0.70,0.80,0.06
March,18,"1,062","1,219","1,336",62.5,1.90,2.79,3.30,0.32,0.53,0.69,0.80,0.06
March,19,"1,080","1,212","1,328",63.4,1.93,2.77,3.32,0.34,0.54,0.69,0.80,0.06
March,20,"1,087","1,196","1,297",59.7,1.92,2.70,3.26,0.33,0.55,0.67,0.79,0.06
March,21,"1,083","1,192","1,287",59.3,1.89,2.70,3.21,0.33,0.55,0.67,0.78,0.06
March,22,"1,070","1,207","1,308",66.8,1.99,2.83,3.34,0.34,0.56,0.68,0.80,0.06
March,23,"1,077","1,239","1,380",71.9,2.20,3.06,3.63,0.35,0.58,0.72,0.85,0.06
March,24,"1,115","1,282","1,418",73.0,2.56,3.34,3.83,0.34,0.62,0.76,0.89,0.06
April,Monthly Average,"1,122","1,300","1,612",91.8,2.37,3.34,4.58,0.52,0.61,0.78,1.04,0.09
April,1,"1,280","1,388","1,527",56.4,3.42,3.92,4.34,0.25,0.78,0.87,0.98,0.05
April,2,"1,313","1,413","1,563",55.8,3.50,4.07,4.48,0.25,0.80,0.89,1.01,0.05
April,3,"1,329","1,428","1,612",57.2,3.55,4.15,4.55,0.23,0.82,0.91,1.04,0.05
April,4,"1,334","1,426","1,609",60.3,3.58,4.16,4.58,0.23,0.83,0.90,1.03,0.06
April,5,"1,313","1,414","1,588",67.1,3.57,4.08,4.50,0.26,0.79,0.89,1.02,0.06
April,6,"1,238","1,357","1,524",75.4,3.22,3.77,4.43,0.29,0.72,0.84,1.00,0.07
April,7,"1,168","1,292","1,490",84.6,2.81,3.40,4.33,0.36,0.65,0.78,0.99,0.08
April,8,"1,179","1,283","1,469",74.8,2.84,3.33,4.18,0.29,0.66,0.77,0.96,0.07
April,9,"1,180","1,278","1,431",61.2,2.81,3.25,3.88,0.22,0.67,0.77,0.92,0.06
April,10,"1,171","1,270","1,406",57.4,2.72,3.16,3.67,0.20,0.65,0.76,0.89,0.05
April,11,"1,160","1,261","1,381",58.0,2.69,3.10,3.56,0.20,0.64,0.75,0.87,0.05
April,12,"1,153","1,257","1,383",60.2,2.62,3.06,3.62,0.22,0.61,0.74,0.84,0.05
April,13,"1,162","1,259","1,398",62.9,2.61,3.03,3.63,0.26,0.62,0.74,0.83,0.05
April,14,"1,156","1,256","1,402",64.8,2.54,2.99,3.66,0.29,0.62,0.74,0.83,0.06
April,15,"1,159","1,256","1,395",66.6,2.45,2.97,3.66,0.33,0.62,0.74,0.83,0.06
April,16,"1,154","1,253","1,394",69.5,2.40,2.94,3.61,0.35,0.62,0.73,0.82,0.06
April,17,"1,152","1,250","1,359",65.9,2.37,2.92,3.68,0.35,0.62,0.73,0.84,0.06
April,18,"1,134","1,251","1,409",66.9,2.39,2.94,3.71,0.35,0.62,0.73,0.85,0.06
April,19,"1,158","1,250","1,405",64.5,2.46,2.98,3.73,0.31,0.63,0.74,0.85,0.06
April,20,"1,160","1,244","1,381",59.1,2.49,2.96,3.59,0.26,0.62,0.73,0.83,0.05
April,21,"1,122","1,232","1,362",62.4,2.47,2.89,3.54,0.25,0.61,0.72,0.82,0.06
April,22,"1,137","1,248","1,384",63.9,2.61,3.05,3.65,0.26,0.63,0.74,0.84,0.06
April,23,"1,185","1,289","1,413",62.3,2.88,3.34,3.95,0.27,0.68,0.78,0.88,0.06
April,24,"1,236","1,343","1,480",64.4,3.18,3.66,4.37,0.28,0.71,0.83,0.95,0.06
May,Monthly Average,"1,105","1,259","1,477",80.5,1.50,2.95,4.40,0.61,0.58,0.75,1.00,0.08
May,1,"1,179","1,320","1,411",62.5,2.27,3.46,3.90,0.40,0.66,0.82,0.93,0.07
May,2,"1,204","1,347","1,445",64.1,2.41,3.63,4.08,0.43,0.69,0.84,0.96,0.07
May,3,"1,222","1,369","1,469",69.0,2.50,3.76,4.24,0.44,0.72,0.86,0.98,0.07
May,4,"1,227","1,380","1,477",70.3,2.54,3.82,4.40,0.46,0.73,0.87,1.00,0.07
May,5,"1,225","1,374","1,458",64.7,2.53,3.78,4.32,0.44,0.74,0.86,0.97,0.06
May,6,"1,201","1,335","1,430",57.7,2.39,3.55,4.29,0.41,0.71,0.83,0.93,0.05
May,7,"1,178","1,299","1,435",64.0,2.26,3.33,4.34,0.43,0.68,0.79,0.92,0.06
May,8,"1,165","1,284","1,396",57.9,2.14,3.22,4.06,0.39,0.66,0.78,0.88,0.06
May,9,"1,155","1,266","1,365",52.4,2.01,3.04,3.77,0.36,0.64,0.76,0.88,0.05
May,10,"1,145","1,241","1,323",48.9,1.89,2.88,3.48,0.33,0.63,0.73,0.83,0.05
May,11,"1,134","1,223","1,299",47.4,1.78,2.74,3.29,0.33,0.63,0.71,0.80,0.05
May,12,"1,137","1,215","1,291",42.1,1.70,2.63,3.15,0.32,0.62,0.70,0.77,0.04
May,13,"1,131","1,209","1,274",39.7,1.63,2.55,3.02,0.32,0.62,0.70,0.76,0.04
May,14,"1,117","1,204","1,263",38.9,1.57,2.48,2.91,0.32,0.60,0.70,0.78,0.04
May,15,"1,119","1,203","1,261",37.1,1.52,2.43,2.83,0.31,0.60,0.70,0.77,0.04
May,16,"1,113","1,203","1,284",38.2,1.50,2.40,2.79,0.31,0.59,0.71,0.79,0.05
